DATE,VIX_OPEN,VIX_HIGH,VIX_LOW,VIX_CLOSE
2011-06-22,21.31,21.31,20.24,20.89
2011-06-23,20.89,20.95,19.47,19.5
2011-06-24,19.5,19.5,18.25,19.32
2011-06-27,19.32,20.37,19.21,19.99
2011-06-28,19.99,19.99,19.32,19.49
2011-06-29,19.49,19.54,18.76,19.46
2011-06-30,19.46,19.46,18.41,18.41
2011-07-01,18.41,18.43,17.79,18.21
2011-07-04,18.21,18.71,17.84,18.17
2011-07-05,18.17,18.52,17.78,18.25
2011-07-06,18.25,18.49,18.12,18.34
2011-07-07,18.34,18.62,17.35,18.62
2011-07-08,18.62,18.79,18.02,18.67
2011-07-11,18.67,19.71,18.6,19.69
2011-07-12,19.69,21.22,19.41,20.83
2011-07-13,20.83,20.83,19.5,19.52
2011-07-14,19.52,20.29,17.85,19.97
2011-07-15,19.97,20.26,19.08,19.95
2011-07-18,19.95,20.4,19.29,20.2
2011-07-19,20.2,20.2,19.08,19.25
2011-07-20,19.25,19.46,18.48,19.11
2011-07-21,19.11,19.16,18.64,18.75
2011-07-22,18.75,18.75,17.27,17.91
2011-07-25,17.91,19.23,16.55,19.2
2011-07-26,19.2,19.59,18.41,19.3
2011-07-27,19.3,19.36,18.13,18.25
2011-07-28,18.25,19.04,18.25,18.51
2011-07-29,18.51,19.88,18.39,19.77
2011-08-01,19.77,19.77,18.58,18.78
2011-08-02,18.78,19.51,18.38,19.15
2011-08-03,19.15,19.99,18.98,19.48
2011-08-04,19.43,20.28,19.26,20.22
2011-08-05,20.22,26.4,19.84,24.9
2011-08-08,24.9,29.65,24.9,28.78
2011-08-09,28.78,37.0,28.78,34.88
2011-08-10,34.88,34.88,26.09,28.95
2011-08-11,28.95,29.49,27.4,29.09
2011-08-12,29.09,29.09,25.65,27.02
2011-08-16,27.02,27.13,24.99,26.46
2011-08-17,26.46,26.46,24.53,25.48
2011-08-18,25.48,27.87,22.35,27.45
2011-08-19,27.45,31.13,25.9,29.19
2011-08-22,29.19,30.35,27.03,27.08
2011-08-23,27.08,29.06,25.23,25.92
2011-08-24,25.92,29.22,24.93,28.6
2011-08-25,28.6,30.34,26.41,27.94
2011-08-26,27.94,33.26,27.75,33.26
2011-08-29,33.26,33.26,25.66,26.07
2011-08-30,26.07,26.4,24.4,24.88
2011-09-02,24.88,26.37,24.01,26.09
2011-09-05,26.09,28.32,26.09,27.83
2011-09-06,27.83,30.5,26.81,28.66
2011-09-07,28.66,28.77,27.4,27.86
2011-09-08,27.86,28.67,26.98,27.64
2011-09-09,27.64,28.28,26.15,28.15
2011-09-12,28.15,32.92,27.31,32.75
2011-09-13,32.75,33.71,29.42,32.77
2011-09-14,32.77,34.74,31.24,32.45
2011-09-15,32.45,33.72,29.91,30.79
2011-09-16,30.79,30.79,28.37,28.45
2011-09-19,28.45,30.75,27.56,29.6
2011-09-20,29.6,29.6,27.01,27.25
2011-09-21,27.25,28.17,25.99,27.67
2011-09-22,27.67,34.92,27.67,33.88
2011-09-23,33.88,37.55,33.52,35.16
2011-09-26,35.16,38.19,34.47,35.43
2011-09-27,35.43,35.43,31.24,32.01
2011-09-28,32.01,34.11,31.03,32.0
2011-09-29,32.0,32.81,30.5,31.07
2011-09-30,31.07,32.52,30.28,31.94
2011-10-03,31.94,36.05,31.94,35.07
2011-10-04,35.07,39.02,34.79,37.19
2011-10-05,37.19,37.19,34.76,35.37
2011-10-07,35.37,35.37,29.9,33.02
2011-10-10,33.02,33.71,30.03,30.03
2011-10-11,30.03,30.95,28.15,30.3
2011-10-12,30.3,30.3,28.01,28.41
2011-10-13,28.41,28.54,27.42,28.24
2011-10-14,28.24,28.31,25.73,25.98
2011-10-17,25.98,26.53,25.0,25.43
2011-10-18,25.43,26.59,25.33,25.9
2011-10-19,25.9,25.9,23.53,24.05
2011-10-20,24.05,26.54,19.6,25.6
2011-10-21,25.6,26.7,24.39,26.3
2011-10-24,26.3,26.3,24.58,25.22
2011-10-25,25.22,25.22,22.0,22.31
2011-10-26,22.31,22.69,22.01,22.69
2011-10-28,22.69,22.69,20.57,20.89
2011-10-31,20.27,22.79,20.27,22.66
2011-11-01,20.73,24.6,20.73,24.02
2011-11-02,24.02,24.92,23.57,24.89
2011-11-03,24.89,26.18,24.42,24.66
2011-11-04,21.13,23.88,21.13,23.43
2011-11-08,20.75,24.74,20.75,23.71
2011-11-09,23.71,24.82,20.16,24.3
2011-11-11,24.3,25.93,24.27,24.74
2011-11-14,24.74,25.47,24.0,25.29
2011-11-15,25.29,26.03,24.43,25.97
2011-11-16,25.97,27.22,24.93,25.04
2011-11-17,25.04,27.27,24.73,26.92
2011-11-18,26.92,28.23,26.28,26.58
2011-11-21,23.07,28.69,23.07,28.61
2011-11-22,22.64,28.9,22.64,27.35
2011-11-23,27.35,32.71,26.98,30.68
2011-11-24,24.84,32.52,24.84,27.95
2011-11-25,27.95,30.13,27.95,29.12
2011-11-28,28.63,28.77,26.64,26.64
2011-11-29,26.64,28.15,26.2,26.87
2011-11-30,26.46,27.85,26.15,26.55
2011-12-01,26.55,26.55,23.37,25.02
2011-12-02,24.09,24.9,23.38,23.99
2011-12-05,23.4,25.75,23.4,25.02
2011-12-07,24.52,26.58,24.52,26.46
2011-12-08,25.0,29.0,25.0,28.58
2011-12-09,28.03,29.98,28.03,29.53
2011-12-12,27.21,30.0,27.21,29.27
2011-12-13,28.47,29.61,28.11,28.11
2011-12-14,28.08,29.35,28.08,28.79
2011-12-15,28.79,30.26,27.98,28.81
2011-12-16,27.48,29.69,27.48,29.69
2011-12-19,29.69,31.27,29.69,30.58
2011-12-20,30.58,31.02,29.54,30.53
2011-12-21,28.81,29.88,27.53,27.53
2011-12-22,27.31,28.23,26.58,26.84
2011-12-23,26.84,27.91,25.81,27.39
2011-12-26,26.99,27.97,26.31,26.6
2011-12-27,26.6,27.01,26.03,26.29
2011-12-28,26.29,27.24,25.94,26.74
2011-12-29,26.74,27.55,26.43,26.62
2011-12-30,26.62,27.79,26.25,27.11
2012-01-02,27.11,28.68,27.11,27.53
2012-01-03,27.53,27.53,25.99,26.16
2012-01-04,26.16,26.84,25.6,26.41
2012-01-05,26.41,26.6,25.72,25.91
2012-01-06,25.91,26.44,25.09,25.46
2012-01-07,25.46,25.76,24.6,25.65
2012-01-09,25.65,26.54,24.91,25.68
2012-01-10,25.68,25.68,23.96,24.0
2012-01-11,24.0,24.64,23.32,24.54
2012-01-12,24.54,24.85,23.77,24.03
2012-01-13,24.03,24.15,23.23,23.48
2012-01-16,23.48,24.96,23.22,24.07
2012-01-17,24.07,24.07,22.48,22.61
2012-01-18,22.61,22.75,21.97,22.68
2012-01-19,22.68,22.68,20.88,21.68
2012-01-20,21.68,22.33,18.01,21.96
2012-01-23,21.96,22.91,21.96,22.14
2012-01-24,22.14,22.51,20.77,21.42
2012-01-25,21.42,21.42,18.63,21.02
2012-01-27,21.02,22.2,20.68,21.7
2012-01-30,21.7,23.48,21.7,23.46
2012-01-31,23.46,23.46,22.33,22.66
2012-02-01,22.66,23.49,22.17,22.89
2012-02-02,22.89,24.26,21.88,23.69
2012-02-03,23.69,24.49,23.35,24.09
2012-02-06,24.09,25.02,23.58,24.62
2012-02-07,24.66,25.15,23.69,24.91
2012-02-08,24.91,25.01,24.17,24.27
2012-02-09,24.27,24.61,23.25,23.3
2012-02-10,23.3,24.47,22.98,23.83
2012-02-13,23.83,24.76,23.12,23.71
2012-02-14,23.71,23.92,22.71,22.71
2012-02-15,22.71,22.71,21.71,22.1
2012-02-16,22.1,23.88,20.3,23.33
2012-02-17,23.33,24.91,21.81,24.18
2012-02-21,24.18,27.18,24.18,26.25
2012-02-22,26.25,27.3,25.69,26.8
2012-02-23,26.8,26.8,24.13,24.33
2012-02-24,24.33,25.79,23.59,24.82
2012-02-27,24.82,27.87,24.82,27.38
2012-02-28,27.38,27.38,25.7,25.85
2012-02-29,25.85,27.09,24.69,26.93
2012-03-01,26.93,28.02,26.52,27.67
2012-03-02,27.67,28.37,26.62,27.84
2012-03-03,27.84,28.2,27.17,28.2
2012-03-05,28.2,29.55,28.2,28.92
2012-03-06,28.92,28.92,26.05,27.34
2012-03-07,27.34,27.34,25.97,26.33
2012-03-09,26.33,26.33,24.6,25.47
2012-03-12,25.47,26.93,24.92,26.27
2012-03-13,26.27,26.27,24.64,24.75
2012-03-14,24.75,25.09,23.03,24.72
2012-03-15,24.72,25.64,24.04,25.42
2012-03-16,25.42,25.42,22.58,23.13
2012-03-19,23.13,23.82,22.79,22.97
2012-03-20,22.97,22.97,21.36,21.94
2012-03-21,21.94,21.99,21.0,21.0
2012-03-22,21.0,24.77,20.59,24.77
2012-03-23,24.77,24.77,22.89,23.34
2012-03-26,23.34,27.45,22.4,26.74
2012-03-27,26.74,27.13,24.32,25.05
2012-03-28,25.05,25.83,24.82,24.87
2012-03-29,24.87,25.86,24.19,24.33
2012-03-30,24.33,24.33,22.07,22.38
2012-04-02,22.86,22.94,20.88,20.88
2012-04-03,20.88,20.88,19.93,20.01
2012-04-04,20.01,20.85,20.01,20.63
2012-04-09,20.63,22.44,20.63,22.33
2012-04-10,22.33,22.81,21.73,21.92
2012-04-11,21.92,22.75,21.65,22.29
2012-04-12,22.29,22.29,21.72,21.78
2012-04-13,19.86,23.16,19.86,22.75
2012-04-16,22.75,23.29,22.23,22.23
2012-04-17,22.23,22.75,20.29,20.31
2012-04-18,18.93,20.2,18.93,20.03
2012-04-19,20.03,20.03,18.99,19.35
2012-04-20,19.35,20.75,19.02,20.09
2012-04-23,20.09,21.57,19.71,21.57
2012-04-24,21.57,21.57,19.13,19.25
2012-04-25,17.76,20.4,17.76,18.94
2012-04-26,19.33,19.45,18.31,18.74
2012-04-27,18.74,19.18,17.85,17.89
2012-04-28,18.55,18.55,17.59,17.61
2012-04-30,17.61,18.52,17.61,17.82
2012-05-02,17.82,18.61,17.82,18.54
2012-05-03,18.54,19.82,18.54,19.25
2012-05-04,19.25,21.45,19.25,21.12
2012-05-07,21.12,23.23,20.18,20.22
2012-05-08,20.22,22.3,19.65,22.16
2012-05-09,22.16,23.87,22.06,23.04
2012-05-10,23.04,23.64,22.07,22.72
2012-05-11,22.72,23.93,22.35,22.48
2012-05-14,22.48,23.52,22.48,23.26
2012-05-15,23.26,23.26,22.2,22.28
2012-05-16,22.28,24.54,22.28,23.71
2012-05-17,23.71,24.27,22.21,23.59
2012-05-18,23.59,25.45,22.57,23.55
2012-05-21,23.55,24.35,23.2,23.92
2012-05-22,23.92,24.63,22.6,24.39
2012-05-23,24.39,27.2,23.21,27.13
2012-05-24,27.13,27.13,24.0,25.49
2012-05-25,25.49,26.6,24.06,25.14
2012-05-28,25.14,25.4,23.59,23.68
2012-05-29,23.68,24.33,22.7,24.03
2012-05-30,24.03,25.54,23.29,25.3
2012-05-31,25.3,25.97,24.99,25.25
2012-06-01,25.25,26.77,24.88,26.77
2012-06-04,26.77,28.65,25.6,25.6
2012-06-05,25.6,26.69,24.27,26.26
2012-06-06,26.26,26.26,24.26,24.9
2012-06-07,24.9,25.06,23.34,23.64
2012-06-08,23.64,24.75,23.45,23.47
2012-06-11,23.47,25.02,23.47,25.02
2012-06-12,25.02,25.43,23.94,24.2
2012-06-13,24.2,25.32,23.53,24.36
2012-06-14,24.36,25.82,23.4,25.71
2012-06-15,25.71,25.92,24.49,25.54
2012-06-18,25.54,25.54,22.25,22.6
2012-06-19,22.6,22.6,21.04,21.43
2012-06-20,21.43,21.72,20.11,21.03
2012-06-21,21.03,21.22,19.43,19.94
2012-06-22,19.94,21.52,19.61,20.58
2012-06-25,20.58,21.63,20.04,21.57
2012-06-26,21.57,21.76,20.04,20.23
2012-06-27,20.23,20.81,19.39,20.37
2012-06-28,20.37,20.73,19.53,20.62
2012-06-29,20.62,20.62,18.8,19.08
2012-07-02,19.08,19.7,18.79,19.01
2012-07-03,19.01,19.01,18.14,18.56
2012-07-04,18.56,18.83,17.48,18.27
2012-07-05,18.27,18.7,18.09,18.35
2012-07-06,18.35,18.63,18.04,18.04
2012-07-09,18.04,19.09,18.04,18.72
2012-07-10,18.72,18.87,17.8,17.83
2012-07-11,17.83,18.57,17.8,18.39
2012-07-12,18.39,19.31,18.02,18.71
2012-07-13,18.71,18.71,17.62,18.26
2012-07-16,18.26,19.01,18.08,18.77
2012-07-17,18.77,18.77,17.72,17.78
2012-07-18,17.78,17.83,17.06,17.44
2012-07-19,17.44,17.44,16.33,16.38
2012-07-20,16.38,17.31,15.84,16.89
2012-07-23,16.89,18.67,16.89,18.66
2012-07-24,18.66,18.66,16.56,16.97
2012-07-25,16.97,18.14,16.48,16.75
2012-07-26,16.75,17.58,15.92,16.37
2012-07-27,16.37,16.75,15.42,16.44
2012-07-30,16.44,17.32,16.43,16.6
2012-07-31,16.6,17.13,15.93,16.01
2012-08-01,16.01,16.48,15.86,16.45
2012-08-02,16.45,16.91,16.45,16.77
2012-08-03,16.77,16.96,16.12,16.12
2012-08-06,16.12,16.51,15.68,16.22
2012-08-07,16.22,16.33,15.74,16.21
2012-08-08,16.21,16.74,15.51,16.37
2012-08-09,16.37,16.77,16.04,16.33
2012-08-10,16.33,16.51,16.03,16.07
2012-08-13,16.07,16.65,16.0,16.01
2012-08-14,16.01,16.15,15.57,15.64
2012-08-16,15.64,16.13,15.07,15.69
2012-08-17,15.69,16.02,15.21,15.73
2012-08-21,15.73,16.49,15.71,16.3
2012-08-22,16.3,16.53,15.79,16.0
2012-08-23,16.0,16.36,15.44,16.12
2012-08-24,16.12,16.8,15.66,16.16
2012-08-27,16.16,17.03,14.68,16.47
2012-08-28,16.47,16.76,15.8,16.35
2012-08-29,16.35,16.9,15.64,16.74
2012-08-30,16.74,17.04,16.55,16.67
2012-08-31,16.67,17.35,16.59,17.3
2012-09-03,17.3,17.5,16.86,17.28
2012-09-04,17.28,17.28,16.59,16.59
2012-09-05,16.59,17.15,16.19,17.01
2012-09-06,17.01,17.07,16.23,16.98
2012-09-07,16.98,16.98,15.2,15.26
2012-09-08,15.26,15.26,14.45,14.76
2012-09-10,14.76,15.46,14.76,15.27
2012-09-11,15.27,15.51,15.1,15.38
2012-09-12,15.38,15.66,14.64,15.04
2012-09-13,15.04,15.83,14.62,15.67
2012-09-14,15.67,15.67,13.86,15.38
2012-09-17,15.38,17.81,15.38,17.78
2012-09-18,17.78,18.09,16.17,17.83
2012-09-20,17.83,18.81,17.13,18.62
2012-09-21,18.62,19.45,17.09,18.93
2012-09-24,18.93,19.83,18.46,18.83
2012-09-25,18.83,18.83,17.11,17.11
2012-09-26,17.11,17.3,16.62,16.97
2012-09-27,16.97,17.09,15.73,16.91
2012-09-28,16.91,16.91,16.13,16.16
2012-10-01,16.16,16.77,15.99,16.34
2012-10-03,16.34,16.98,15.69,16.5
2012-10-04,16.5,16.62,15.59,16.44
2012-10-05,16.44,17.49,15.68,16.78
2012-10-08,16.78,17.59,16.17,17.17
2012-10-09,17.17,17.17,16.32,16.8
2012-10-10,16.8,17.16,16.5,16.83
2012-10-11,16.83,17.24,16.12,16.49
2012-10-12,16.49,16.82,15.37,16.49
2012-10-15,16.49,16.68,15.78,15.9
2012-10-16,15.9,15.9,14.82,15.57
2012-10-17,15.57,15.57,14.36,15.17
2012-10-18,15.17,15.17,14.15,14.76
2012-10-19,14.76,15.19,13.95,14.54
2012-10-22,14.34,14.37,12.87,13.04
2012-10-23,13.04,14.22,12.93,13.71
2012-10-25,13.71,14.55,13.4,13.52
2012-10-26,13.52,14.81,13.52,14.21
2012-10-29,14.21,15.37,14.21,15.12
2012-10-30,15.12,15.55,15.09,15.17
2012-10-31,15.17,15.18,14.31,14.4
2012-11-01,14.4,14.67,14.01,14.08
2012-11-02,14.08,14.08,13.25,13.66
2012-11-05,13.66,14.98,13.49,14.63
2012-11-06,14.63,15.64,13.83,15.21
2012-11-07,15.21,15.39,14.41,14.51
2012-11-08,14.51,14.57,13.86,14.22
2012-11-09,14.22,14.8,13.57,14.37
2012-11-12,14.37,15.11,13.75,14.86
2012-11-13,14.86,14.91,13.93,14.91
2012-11-15,14.91,16.36,13.85,15.53
2012-11-16,15.53,16.27,14.13,16.22
2012-11-19,16.22,17.22,14.71,16.68
2012-11-20,16.68,16.68,14.72,15.81
2012-11-21,15.81,16.03,14.82,15.46
2012-11-22,15.46,15.55,14.65,14.91
2012-11-23,14.91,15.01,13.42,14.68
2012-11-26,14.68,14.94,14.09,14.67
2012-11-27,14.67,14.68,13.39,13.96
2012-11-29,13.96,15.62,13.48,15.37
2012-11-30,15.37,15.38,14.06,15.15
2012-12-03,15.15,15.72,14.54,15.62
2012-12-04,15.62,16.17,14.62,15.91
2012-12-05,15.91,16.72,14.79,16.62
2012-12-06,16.62,16.62,15.02,15.24
2012-12-07,15.24,15.51,14.42,14.96
2012-12-10,14.96,14.96,14.22,14.51
2012-12-11,14.51,14.84,13.39,14.67
2012-12-12,14.67,14.67,13.4,14.51
2012-12-13,14.51,14.86,13.29,14.71
2012-12-14,14.71,14.83,13.43,14.23
